"","PlotID","Year","Field","Treat","SDiv","LeftS","ColS","Tot_S","W_m2","log10(W_m2)","Ts","Bs","10 * ColS"
"178",192,2009,3,"8mm",6,3,19,22,491.8998028,2.69187664845303,22,491.8998028,190
"179",193,2009,3,"8mm",20,14,12,26,877.6767343,2.94333458610975,26,877.6767343,120
"180",194,2009,3,"8mm",12,8,19,27,994.823656,2.99774610384771,27,994.823656,190
"185",200,2009,5,"8mm",2,2,13,15,709.4949469,2.85094930671208,15,709.4949469,130
"186",201,2009,5,"8mm",12,6,4,10,504.0184499,2.70244643434851,10,504.0184499,40
"187",202,2009,5,"8mm",6,5,8,13,631.2642439,2.80021119069484,13,631.2642439,80
"188",203,2009,5,"8mm",20,12,6,18,701.956352,2.84631010831943,18,701.956352,60
"193",209,2009,6,"8mm",6,4,6,10,564.6116852,2.75174986205987,10,564.6116852,60
"194",210,2009,6,"8mm",2,1,10,11,495.9393519,2.69542857014826,11,495.9393519,100
"195",211,2009,6,"8mm",20,13,4,17,716.0947735,2.8549705039898,17,716.0947735,40
"196",212,2009,6,"8mm",12,8,9,17,760.5298128,2.88111624308429,17,760.5298128,90
"209",226,2009,7,"8mm",12,8,14,22,972.6061364,2.98793700530645,22,972.6061364,140
"210",227,2009,7,"8mm",20,13,10,23,699.9365775,2.84505868960047,23,699.9365775,100
"211",228,2009,7,"8mm",6,5,17,22,687.8179304,2.83747349305081,22,687.8179304,170
"212",229,2009,7,"8mm",2,2,28,30,712.0552246,2.85251367735732,30,712.0552246,280
"217",235,2009,8,"8mm",6,4,23,27,885.7558323,2.94731402064661,27,885.7558323,230
"218",236,2009,8,"8mm",20,13,5,18,1160.445166,3.06462462375251,18,1160.445166,50
"219",237,2009,8,"8mm",2,1,19,20,825.162597,2.9165395340313,20,825.162597,190
"220",238,2009,8,"8mm",12,10,13,23,960.4874893,2.98249171239047,23,960.4874893,130
"237",256,2009,9,"8mm",2,2,17,19,544.4139401,2.73592923708787,19,544.4139401,170
"238",257,2009,9,"8mm",20,15,6,21,508.057999,2.70591329340175,21,508.057999,60
"239",258,2009,9,"8mm",12,8,11,19,576.7303323,2.76097279310345,19,576.7303323,110
"240",259,2009,9,"8mm",6,6,21,27,730.2331951,2.86346157131582,27,730.2331951,210
"245",265,2009,10,"8mm",6,5,8,13,1021.080725,3.0090600780675,13,1021.080725,80
"246",266,2009,10,"8mm",2,1,21,22,1087.733284,3.03652241789227,22,1087.733284,210
"247",267,2009,10,"8mm",20,15,12,27,897.8744794,2.9532156276315,27,897.8744794,120
"248",268,2009,10,"8mm",12,10,17,27,800.925303,2.90359201420206,27,800.925303,170
"253",274,2009,11,"8mm",20,15,11,26,1025.120274,3.01077482272851,26,1025.120274,110
"254",275,2009,11,"8mm",6,3,22,25,855.4592146,2.93219930867969,25,855.4592146,220
"255",276,2009,11,"8mm",12,11,13,24,883.736058,2.94632257534082,24,883.736058,130
"256",277,2009,11,"8mm",2,2,33,35,920.0919991,2.96383125419761,35,920.0919991,330
"269",291,2009,12,"8mm",12,9,15,24,596.9280774,2.77592200705904,24,596.9280774,150
"270",292,2009,12,"8mm",6,4,20,24,936.2501951,2.97139192120776,24,936.2501951,200
"271",293,2009,12,"8mm",20,15,18,33,550.4732635,2.74073623012631,33,550.4732635,180
"272",294,2009,12,"8mm",2,1,20,21,459.5834106,2.6623643437436,21,459.5834106,200
"281",304,2009,13,"8mm",12,9,15,24,279.8234792,2.44688415211146,24,279.8234792,150
"282",305,2009,13,"8mm",2,2,30,32,205.0918223,2.31194834393351,32,205.0918223,300
"283",306,2009,13,"8mm",6,5,19,24,263.6652832,2.42105295001626,24,263.6652832,190
"284",307,2009,13,"8mm",20,10,18,28,358.594685,2.55460384827057,28,358.594685,180
