"","PlotID","Year","Field","Treat","SDiv","LeftS","ColS","Tot_S","W_m2","log10(W_m2)","Ts","Bs","10 * ColS"
"1",157,2008,1,"8mm",6,6,8,14,1528.364737,3.18422700892805,14,1528.364737,80
"2",158,2008,1,"8mm",12,10,12,22,1128.431971,3.05247538219104,22,1128.431971,120
"3",159,2008,1,"8mm",2,2,4,6,1485.705241,3.17193265538354,6,1485.705241,40
"4",160,2008,1,"8mm",20,12,2,14,1261.742893,3.10097086716869,14,1261.742893,20
"13",170,2008,2,"8mm",20,15,4,19,1320.399698,3.12070541632705,19,1320.399698,40
"14",171,2008,2,"8mm",2,2,7,9,1379.056504,3.13958206086234,9,1379.056504,70
"15",172,2008,2,"8mm",12,10,4,14,1459.043057,3.16406810830304,14,1459.043057,40
"16",173,2008,2,"8mm",6,5,20,25,749.8289529,2.87496220568001,25,749.8289529,200
"33",191,2008,3,"8mm",2,2,24,26,744.496516,2.87186266973693,26,744.496516,240
"34",192,2008,3,"8mm",6,5,20,25,776.4911373,2.89013650315064,25,776.4911373,200
"35",193,2008,3,"8mm",20,14,12,26,909.802059,2.95894691535976,26,909.802059,120
"36",194,2008,3,"8mm",12,9,16,25,957.7939909,2.98127210799667,25,957.7939909,160
"41",200,2008,5,"8mm",2,2,15,17,835.1479429,2.92176341571581,17,835.1479429,150
"42",201,2008,5,"8mm",12,9,13,22,1320.399698,3.12070541632705,22,1320.399698,130
"43",202,2008,5,"8mm",6,5,19,24,1597.686416,3.20349154270952,24,1597.686416,190
"44",203,2008,5,"8mm",20,17,12,29,1544.362047,3.18874912021114,29,1544.362047,120
"49",209,2008,6,"8mm",6,6,13,19,1053.777855,3.0227490676925,19,1053.777855,130
"50",210,2008,6,"8mm",2,2,21,23,723.1667685,2.85923846090111,23,723.1667685,210
"51",211,2008,6,"8mm",20,15,6,21,1235.080708,3.09169533807649,21,1235.080708,60
"52",212,2008,6,"8mm",12,10,6,16,1416.383562,3.15118087786148,16,1416.383562,60
"65",226,2008,7,"8mm",12,8,28,36,1069.775165,3.0292925114608,36,1069.775165,280
"66",227,2008,7,"8mm",20,17,15,32,1107.102224,3.04418772319981,32,1107.102224,150
"67",228,2008,7,"8mm",6,5,16,21,1091.104913,3.03786651130914,21,1091.104913,160
"68",229,2008,7,"8mm",2,2,32,34,1053.777855,3.0227490676925,34,1053.777855,320
"73",235,2008,8,"8mm",6,4,18,22,1037.780544,3.01610552441186,22,1037.780544,180
"74",236,2008,8,"8mm",20,14,5,19,1560.359358,3.19322462990802,19,1560.359358,50
"75",237,2008,8,"8mm",2,1,14,15,2349.560016,3.37098654290429,15,2349.560016,140
"76",238,2008,8,"8mm",12,11,14,25,1805.651454,3.25663392193916,25,1805.651454,140
"93",256,2008,9,"8mm",2,2,39,41,1075.107602,3.03145193273184,41,1075.107602,390
"94",257,2008,9,"8mm",20,16,4,20,979.1237384,2.990837579963,20,979.1237384,40
"95",258,2008,9,"8mm",12,9,10,19,1107.102224,3.04418772319981,19,1107.102224,100
"96",259,2008,9,"8mm",6,5,12,17,1101.769787,3.04209085887131,17,1101.769787,120
"101",265,2008,10,"8mm",6,4,13,17,1677.672969,3.22470730714784,17,1677.672969,130
"102",266,2008,10,"8mm",2,2,17,19,1523.0323,3.18270911381734,19,1523.0323,170
"103",267,2008,10,"8mm",20,15,8,23,1368.39163,3.13621040908513,23,1368.39163,80
"104",268,2008,10,"8mm",12,9,11,20,1325.732135,3.12245578346309,20,1325.732135,110
"109",274,2008,11,"8mm",20,16,12,28,1130.930385,3.05343587252859,28,1130.930385,120
"110",275,2008,11,"8mm",6,4,25,29,1624.3486,3.21067923845802,29,1624.3486,250
"111",276,2008,11,"8mm",12,11,7,18,1416.383562,3.15118087786148,18,1416.383562,70
"112",277,2008,11,"8mm",2,2,29,31,1235.080708,3.09169533807649,31,1235.080708,290
"125",291,2008,12,"8mm",12,10,8,18,787.156011,2.8960608162239,18,787.156011,80
"126",292,2008,12,"8mm",6,6,12,18,877.807438,2.94339925646871,18,877.807438,120
"127",293,2008,12,"8mm",20,15,10,25,760.4938266,2.8810956929657,25,760.4938266,100
"128",294,2008,12,"8mm",2,0,22,22,552.5287886,2.74235491114339,22,552.5287886,220
"137",304,2008,13,"8mm",12,9,16,25,728.4992053,2.86242908234621,25,728.4992053,160
"138",305,2008,13,"8mm",2,2,25,27,733.8316422,2.86559643423456,27,733.8316422,250
"139",306,2008,13,"8mm",6,5,29,34,829.815506,2.91898154583077,34,829.815506,290
"140",307,2008,13,"8mm",20,12,21,33,856.4776904,2.93271605491115,33,856.4776904,210
"145",157,2009,1,"8mm",6,6,12,18,806.9846264,2.90686526119884,18,806.9846264,120
"146",158,2009,1,"8mm",12,8,13,21,766.5891362,2.88456266031121,21,766.5891362,130
"147",159,2009,1,"8mm",2,1,26,27,754.4704891,2.87764225713788,27,754.4704891,260
"148",160,2009,1,"8mm",20,15,7,22,823.1428227,2.91547519575791,22,823.1428227,70
"157",170,2009,2,"8mm",20,11,8,19,582.7896557,2.76551183460056,19,582.7896557,80
"158",171,2009,2,"8mm",2,2,18,20,905.9535774,2.95710594426009,20,905.9535774,180
"159",172,2009,2,"8mm",12,8,12,20,879.6965089,2.9443328684645,20,879.6965089,120
"160",173,2009,2,"8mm",6,4,27,31,768.6089108,2.8857054151125,31,768.6089108,270
"177",191,2009,3,"8mm",2,2,26,28,635.3037931,2.80298144831099,28,635.3037931,260
